Artikelnummer;URL;Bezeichnung;Model;Size;Bez1
150281C11000524;https://www.miraphone.de/f-tuba-281-firebird-5-4-size-bell-40-cm-6-valves-1.html;F-Tuba;Modell 281 Firebird;5/4 kompakt;Modell 281 Firebird5/4 kompakt
150281C11020;https://www.miraphone.de/f-tuba-102.html;F-Tuba;Modell 281 Firebird;5/4 kompakt;Modell 281 Firebird5/4 kompakt
150281C11020P10;https://www.miraphone.de/f-tuba-109.html;F-Tuba;Modell 281 Firebird;5/4 kompakt;Modell 281 Firebird5/4 kompakt
150281C11020P10720;https://www.miraphone.de/f-tuba-281-firebird-150281c11020p10720.html;F-Tuba;Modell 281 Firebird;5/4 kompakt;Modell 281 Firebird5/4 kompakt
150481B07001;https://www.miraphone.de/f-tuba-124.html;F-Tuba;Modell 481 Elektra;5/4;Modell 481 Elektra5/4
150481B07001500;https://www.miraphone.de/f-tuba-121.html;F-Tuba;Modell 481 Elektra;5/4;Modell 481 Elektra5/4
150481B07021;https://www.miraphone.de/f-tuba-125.html;F-Tuba;Modell 481 Elektra;5/4;Modell 481 Elektra5/4
150481B11001;https://www.miraphone.de/f-tuba-123.html;F-Tuba;Modell 481 Elektra;5/4;Modell 481 Elektra5/4
150481B11001500;https://www.miraphone.de/f-tuba-120.html;F-Tuba;Modell 481 Elektra;5/4;Modell 481 Elektra5/4
150481B11021;https://www.miraphone.de/f-tuba-122.html;F-Tuba;Modell 481 Elektra;5/4;Modell 481 Elektra5/4
150481C07001;https://www.miraphone.de/f-tuba-133.html;F-Tuba;Modell 481 Elektra;5/4;Modell 481 Elektra5/4
150481C07001500;https://www.miraphone.de/f-tuba-126.html;F-Tuba;Modell 481 Elektra;5/4;Modell 481 Elektra5/4
150481C07001500720;https://www.miraphone.de/f-tuba-127.html;F-Tuba;Modell 481 Elektra;5/4;Modell 481 Elektra5/4
150481C07001700;https://www.miraphone.de/f-tuba-128.html;F-Tuba;Modell 481 Elektra;5/4;Modell 481 Elektra5/4
150481C07001710;https://www.miraphone.de/f-tuba-481-elektra-bell-42-cm-6-valves-1.html;F-Tuba;Modell 481 Elektra;5/4;Modell 481 Elektra5/4
150481C07001720;https://www.miraphone.de/f-tuba-130.html;F-Tuba;Modell 481 Elektra;5/4;Modell 481 Elektra5/4
150481C07001930;https://www.miraphone.de/f-tuba-481-elektra-150481c07001930.html;F-Tuba;Modell 481 Elektra;5/4;Modell 481 Elektra5/4
150481C07021;https://www.miraphone.de/f-tuba-129.html;F-Tuba;Modell 481 Elektra;5/4;Modell 481 Elektra5/4
150481C07021500;https://www.miraphone.de/f-tuba-481-elektra-size-bell-42-cm-6-valves-1.html;F-Tuba;Modell 481 Elektra;5/4;Modell 481 Elektra5/4
150481C11001;https://www.miraphone.de/f-tuba-132.html;F-Tuba;Modell 481 Elektra;5/4;Modell 481 Elektra5/4
150481C11001500;https://www.miraphone.de/f-tuba-136.html;F-Tuba;Modell 481 Elektra;5/4;Modell 481 Elektra5/4
150481C11001700;https://www.miraphone.de/f-tuba-134.html;F-Tuba;Modell 481 Elektra;5/4;Modell 481 Elektra5/4
150481C11001710;https://www.miraphone.de/f-tuba-481-elektra-5-4-size-6-valves-1.html;F-Tuba;Modell 481 Elektra;5/4;Modell 481 Elektra5/4
150481C11021;https://www.miraphone.de/f-tuba-131.html;F-Tuba;Modell 481 Elektra;5/4;Modell 481 Elektra5/4
150481C11021P10;https://www.miraphone.de/f-tuba-135.html;F-Tuba;Modell 481 Elektra;5/4;Modell 481 Elektra5/4
15P481B07001;https://www.miraphone.de/python-tuba.html;Python Tuba;Modell Python;5/4;Modell Python5/4
160283A07000;https://www.miraphone.de/es-tuba-3.html;Es-Tuba;Modell 283 Norwegian Star;5/4;Modell 283 Norwegian Star5/4
160283A07020;https://www.miraphone.de/es-tuba.html;Es-Tuba;Modell 283 Norwegian Star;5/4;Modell 283 Norwegian Star5/4
160283A11000;https://www.miraphone.de/es-tuba-2.html;Es-Tuba;Modell 283 Norwegian Star;5/4;Modell 283 Norwegian Star5/4
160283B07000;https://www.miraphone.de/es-tuba-5.html;Es-Tuba;Modell 283 Norwegian Star;5/4;Modell 283 Norwegian Star5/4
160283B07000500;https://www.miraphone.de/es-tuba-8.html;Es-Tuba;Modell 283 Norwegian Star;5/4;Modell 283 Norwegian Star5/4
160283B07020;https://www.miraphone.de/es-tuba-4.html;Es-Tuba;Modell 283 Norwegian Star;5/4;Modell 283 Norwegian Star5/4
160283B07020500;https://www.miraphone.de/es-tuba-7.html;Es-Tuba;Modell 283 Norwegian Star;5/4;Modell 283 Norwegian Star5/4
160283B11000;https://www.miraphone.de/es-tuba-10.html;Es-Tuba;Modell 283 Norwegian Star;5/4;Modell 283 Norwegian Star5/4
160283B11000200;https://www.miraphone.de/es-tuba-6.html;Es-Tuba;Modell 283 Norwegian Star;5/4;Modell 283 Norwegian Star5/4
160283B11020;https://www.miraphone.de/es-tuba-9.html;Es-Tuba;Modell 283 Norwegian Star;5/4;Modell 283 Norwegian Star5/4
160383B07000200;https://www.miraphone.de/eb-tuba-starlight-383-4-4-size-schall-38-cm-5-valves-1-6.html;Es-Tuba;Modell 383 Starlight;4/4;Modell 383 Starlight4/4
160383B07000200700;https://www.miraphone.de/es-tuba-17.html;Es-Tuba;Modell 383 Starlight;4/4;Modell 383 Starlight4/4
160383B07000204;https://www.miraphone.de/eb-tuba-starlight-383-4-4-size-schall-38-cm-5-valves-1-5.html;Es-Tuba;Modell 383 Starlight;4/4;Modell 383 Starlight4/4
160383B07020200;https://www.miraphone.de/eb-tuba-starlight-383-4-4-size-schall-38-cm-5-valves-1-4.html;Es-Tuba;Modell 383 Starlight;4/4;Modell 383 Starlight4/4
160383B07020204;https://www.miraphone.de/eb-tuba-starlight-383-4-4-size-schall-38-cm-5-valves-1-3.html;Es-Tuba;Modell 383 Starlight;4/4;Modell 383 Starlight4/4
160383B11000200;https://www.miraphone.de/eb-tuba-starlight-383-4-4-size-schall-38-cm-5-valves-1-2.html;Es-Tuba;Modell 383 Starlight;4/4;Modell 383 Starlight4/4
160383B11000204;https://www.miraphone.de/es-tuba-16.html;Es-Tuba;Modell 383 Starlight;4/4;Modell 383 Starlight4/4
160383B11020200;https://www.miraphone.de/eb-tuba-starlight-383-4-4-size-schall-38-cm-5-valves-1.html;Es-Tuba;Modell 383 Starlight;4/4;Modell 383 Starlight4/4
170084A07000;https://www.miraphone.de/bbb-tuba-84.html;B-Tuba;Modell 84;1/2;Modell 841/2
170084A07000500;https://www.miraphone.de/b-tuba-modell-84.html;B-Tuba;Modell 84;1/2;Modell 841/2
170086007000;https://www.miraphone.de/bbb-tuba-83.html;B-Tuba;Modell 86;4/4;Modell 864/4
170086011000;https://www.miraphone.de/bbb-tuba-86-4-4-size-bell-45-cm-3-valves-1.html;B-Tuba;Modell 86;4/4;Modell 864/4
170086A07000;https://www.miraphone.de/bbb-tuba-86-4-4-size-bell-45-cm-4-valves-1-5.html;B-Tuba;Modell 86;4/4;Modell 864/4
